x,y
-50.000000,-1.514776
-49.000000,49.699888
-48.000000,27.152535
-47.000000,71.850913
-46.000000,73.378956
-45.000000,55.574675
-44.000000,51.033011
-43.000000,-5.504151
-42.000000,21.307013
-41.000000,8.555130
-40.000000,75.014357
-39.000000,43.427773
-38.000000,8.119523
-37.000000,-9.298082
-36.000000,-0.788685
-35.000000,-1.678933
-34.000000,48.701121
-33.000000,40.142939
-32.000000,31.006641
-31.000000,77.290240
-30.000000,-14.426826
-29.000000,17.536451
-28.000000,13.181904
-27.000000,32.703939
-26.000000,26.800540
-25.000000,30.952774
-24.000000,-19.451380
-23.000000,66.944247
-22.000000,11.967884
-21.000000,-14.009446
-20.000000,35.455022
-19.000000,7.290089
-18.000000,50.318533
-17.000000,-17.447030
-16.000000,-8.598851
-15.000000,-22.718742
-14.000000,11.125604
-13.000000,-35.333567
-12.000000,52.034918
-11.000000,-21.331263
-10.000000,15.565481
-9.000000,-26.864647
-8.000000,-20.093796
-7.000000,30.298577
-6.000000,19.384564
-5.000000,31.828804
-4.000000,45.187235
-3.000000,40.280820
-2.000000,31.867785
-1.000000,-39.232934
0.000000,-39.781072
1.000000,-35.475960
2.000000,7.731608
3.000000,-7.140931
4.000000,-10.429390
5.000000,28.330952
6.000000,20.609085
7.000000,26.415787
8.000000,-11.363578
9.000000,48.040860
10.000000,8.024532
11.000000,33.975366
12.000000,-5.362614
13.000000,-26.206057
14.000000,29.888812
15.000000,-11.048495
16.000000,29.022285
17.000000,-7.288298
18.000000,46.958574
19.000000,53.740671
20.000000,21.432838
21.000000,28.806570
22.000000,19.188638
23.000000,-9.754258
24.000000,46.846678
25.000000,2.989385
26.000000,19.616920
27.000000,10.074989
28.000000,38.473009
29.000000,-21.434411
30.000000,36.749289
31.000000,72.561480
32.000000,32.529377
33.000000,9.359205
34.000000,46.771116
35.000000,51.648280
36.000000,12.558836
37.000000,15.721632
38.000000,28.318111
39.000000,40.464380
40.000000,48.693012
41.000000,78.152974
42.000000,43.101396
43.000000,51.910382
44.000000,-2.112359
45.000000,43.915335
46.000000,11.647042
47.000000,-3.242599
48.000000,19.389340
49.000000,71.164860
50.000000,9.582274
